city,site,site_id,文化區,大學畢業率,曾經結婚率,年齡中位數,所得中位數(萬元),六都,外島,18案07逐年降火電,18案08停建煤電廠,18案09拒核食進口,18案10男女結合婚,18案11反同志教育,18案12立同婚專法,18案13國際賽正名,18案14同婚入民法,18案15挺性平教育,18案16廢非核時間,2020韓國瑜得票率,2020蔡英文得票率,2020國民黨不分區,2020民進黨不分區,21案17核四重啟用,21案18禁萊豬進口,21案19公投綁大選,21案20三接出大潭,22複01降公民權齡,2024侯友宜得票率,2024賴清德得票率,2024柯文哲得票率,2024國民黨不分區,2024民進黨不分區,2024民眾黨不分區
臺南市,學甲區,臺南市學甲區,未定義,0.2011,0.6665,44.2163,54.6,1,0,0.776306184,0.736416185,0.762053525,0.764913958,0.692769335,0.614270542,0.584325302,0.307954659,0.334395856,0.334395856,0.225446991,0.74647444,0.209717529,0.512465727,0.280342474,0.297835398,0.294613962,0.289300174,0.649044472,0.214256591,0.579233487,0.206509921,0.22408925,0.534122994,0.170787136
臺南市,龍崎區,臺南市龍崎區,未定義,0.1135,0.7555,53,51.8,1,0,0.784454605,0.750990753,0.773879142,0.793588301,0.724418605,0.633810888,0.51283514,0.290438966,0.293583535,0.293583535,0.328705441,0.635272045,0.307452204,0.450253609,0.376533742,0.388505747,0.388334612,0.37250384,0.590019569,0.318046709,0.527813163,0.154140127,0.330438558,0.493269648,0.115935736
臺南市,歸仁區,臺南市歸仁區,未定義,0.2454,0.6536,39.4093,59,1,0,0.769967935,0.738799941,0.759983894,0.727897312,0.674650088,0.623602526,0.530126582,0.345119591,0.347820031,0.347820031,0.261287335,0.705024311,0.232667478,0.457054641,0.324306168,0.339180796,0.339796861,0.33270361,0.601253616,0.231426273,0.532249669,0.236324058,0.244552464,0.485704708,0.196254969
臺南市,關廟區,臺南市關廟區,未定義,0.1883,0.6718,43.5736,53.9,1,0,0.778295888,0.740344114,0.750884893,0.75539707,0.686044991,0.620721013,0.535123967,0.309798658,0.333738028,0.333738028,0.269222257,0.698508255,0.240551376,0.457858462,0.31434651,0.326318375,0.324738048,0.31967549,0.627208268,0.241536367,0.545569799,0.212893835,0.253810502,0.501457308,0.171580104
臺南市,鹽水區,臺南市鹽水區,未定義,0.1898,0.6777,45,55.3,1,0,0.772873711,0.733572672,0.746067416,0.755145631,0.684361692,0.613730519,0.574504249,0.321432225,0.357412124,0.357412124,0.258635106,0.713899788,0.241406455,0.478680136,0.307996643,0.326520798,0.320437342,0.319302465,0.642670039,0.227924049,0.55636338,0.215712571,0.244071217,0.515677936,0.170835436
澎湖縣,七美鄉,澎湖縣七美鄉,未定義,0.1682,0.6877,42,61.5,0,1,0.798206278,0.759681093,0.754285714,0.737322515,0.664602683,0.582718651,0.455683003,0.336518047,0.346808511,0.346808511,0.509607352,0.415204678,0.436580882,0.225183824,0.5675,0.574307305,0.570351759,0.574683544,0.570117955,0.416589862,0.358525346,0.224884793,0.422244094,0.306102362,0.176181102
澎湖縣,白沙鄉,澎湖縣白沙鄉,未定義,0.1569,0.6915,43.8274,63.7,0,1,0.786534285,0.763676149,0.770446097,0.797953964,0.722815114,0.661070912,0.433153562,0.262986049,0.283363256,0.283363256,0.440315838,0.5204366,0.407612623,0.357022404,0.508709245,0.525750112,0.510040161,0.524553571,0.533634538,0.400147203,0.398429833,0.201422964,0.415384615,0.387137453,0.143757881
澎湖縣,西嶼鄉,澎湖縣西嶼鄉,未定義,0.1365,0.7038,45.1102,59.6,0,1,0.800487805,0.778258778,0.747460087,0.781833616,0.704960836,0.624295011,0.49466776,0.291593695,0.299737073,0.299737073,0.412248144,0.540827147,0.371827773,0.383233533,0.452820242,0.467087941,0.451392538,0.464417501,0.637745643,0.361377753,0.428853755,0.209768492,0.372716559,0.40807307,0.166764879
澎湖縣,馬公市,澎湖縣馬公市,未定義,0.246,0.6237,39,70.1,0,1,0.808127915,0.783314266,0.800918197,0.75672043,0.702835072,0.634081004,0.393385553,0.292273964,0.307930053,0.307930053,0.420172716,0.528688651,0.378502627,0.321772579,0.523337633,0.550234467,0.543183817,0.546659628,0.492181318,0.377136273,0.361614287,0.26124944,0.395778535,0.33781458,0.20880013
澎湖縣,望安鄉,澎湖縣望安鄉,未定義,0.1587,0.6912,46,65.6,0,1,0.806161746,0.781639344,0.750982962,0.783606557,0.703601108,0.656441718,0.472911964,0.293246445,0.291093843,0.291093843,0.347658756,0.595253368,0.318860244,0.409090909,0.413109756,0.430955994,0.394216134,0.409436834,0.636210526,0.311507937,0.505291005,0.183201058,0.326236264,0.455357143,0.143543956
